Sentiment,Coin,trades,mean_pnl
Fear,PNUT,1,1855.649224
Fear,SEI,10,835.6
Fear,ENA,212,766.994635235849
Fear,DOGE,14,564.8122219285714
Fear,USUAL,129,335.304612627907
Fear,EIGEN,45,295.6319111777778
Fear,TIA,34,239.32317205882353
Fear,ETH,4243,223.75319525689372
Fear,SOL,5792,146.19713229281768
Fear,ETHFI,78,138.47867434615384
Fear,SUI,567,125.07785577248677
Fear,MELANIA,2431,121.03179411147676
Fear,LAYER,149,88.51677852348993
Fear,TRUMP,623,81.15329495345105
Fear,ME,180,76.9895978
Fear,TAO,166,73.70798438554216
Fear,AIXBT,153,67.7597846993464
Fear,AI16Z,57,65.61065328070175
Fear,ZRO,54,63.53453011111111
Fear,RUNE,62,62.02963580645161
Fear,LINK,74,51.53954236486486
Fear,VIRTUAL,121,46.88435995041322
Fear,BTC,11635,41.74529302698754
Fear,MAVIA,80,40.06217865
Fear,HYPE,38229,34.59128311190457
Fear,RENDER,59,34.50064766101695
Fear,FTT,70,30.11504732857143
Fear,kPEPE,166,29.20254997590361
Fear,JELLY,544,28.68008977389706
Fear,W,2,27.3672775
Fear,ZEREBRO,77,25.30791816883117
Fear,PURR,173,25.164292468208092
Fear,kBONK,30,24.736832833333334
Fear,BERA,528,22.847079221590906
Fear,AAVE,158,20.02144198101266
Fear,ALT,57,18.256248157894735
Fear,POPCAT,115,16.416692869565217
Fear,WLD,100,14.217220469999999
Fear,GRIFFAIN,109,14.057952238532112
Fear,ONDO,540,12.517381794444445
Fear,GRASS,87,12.246095609195402
Fear,SAND,45,9.3693046
Fear,AVAX,67,9.255157820895523
Fear,CHILLGUY,3,9.029051666666666
Fear,PENDLE,453,6.7149015607064015
Fear,VINE,136,6.487571286764706
Fear,IP,344,6.064124372093023
Fear,@142,331,5.193347120845921
Fear,ANIME,12,4.993789166666667
Fear,TNSR,22,3.989783772727273
Fear,APE,65,3.128200923076923
Fear,XRP,1080,2.780385448148148
Fear,@4,320,1.6440908625
Fear,@8,168,0.9720718988095239
Fear,PAXG,1032,0.33766107751937985
Fear,IO,5,0.014728
Fear,@151,30,-1.4904160666666668
Fear,@51,102,-2.8263050294117646
Fear,PENGU,141,-16.62241695744681
Fear,PURR/USDC,255,-19.382528074509803
Fear,@107,6981,-21.286378967769664
Fear,JUP,76,-36.92928381578947
Fear,KAITO,258,-37.70573722093024
Fear,FARTCOIN,1516,-98.1701093509235
Fear,ADA,292,-101.43106541438357
Fear,WIF,15,-221.78977326666666
Greed,BERA,412,202.04748907281552
Greed,ETHFI,198,153.81010146969697
Greed,@107,18801,144.29877026392214
Greed,SOL,3499,139.87023224235497
Greed,ZRO,1160,124.28839529568965
Greed,AVAX,113,108.29333350442478
Greed,SUI,1319,94.68561821152389
Greed,AIXBT,490,84.39603090204082
Greed,JUP,557,81.83360334829445
Greed,ENA,753,78.47895626029216
Greed,JELLY,208,77.17433901442308
Greed,NEAR,221,63.1417376877828
Greed,USUAL,455,56.44082
Greed,ETH,5598,55.201847584673104
Greed,WIF,258,47.30848512790698
Greed,MAVIA,86,42.52407748837209
Greed,ZEREBRO,391,40.40272248337596
Greed,@151,291,39.960670965635735
Greed,PURR/USDC,2330,39.69552130085837
Greed,MELANIA,1497,36.62279781229125
Greed,EIGEN,268,34.49218435074627
Greed,ONDO,488,33.98688369057377
Greed,ANIME,638,33.442419561128524
Greed,VIRTUAL,429,32.256718559440564
Greed,DOGE,773,30.82318129366106
Greed,ME,178,30.517522977528092
Greed,TIA,270,27.361511266666668
Greed,AAVE,374,26.603226986631018
Greed,HYPE,12452,26.1800671839062
Greed,PURR,889,24.060664205849267
Greed,kBONK,1472,23.55916700611413
Greed,RENDER,172,23.541243104651162
Greed,CHILLGUY,203,22.85142163054187
Greed,BTC,9676,22.36026277821414
Greed,PNUT,575,20.87752379304348
Greed,ALT,127,19.733107551181103
Greed,ZETA,236,19.646124114406778
Greed,FARTCOIN,2604,19.10924919278034
Greed,APE,588,15.971593778911563
Greed,GRIFFAIN,395,15.619085098734176
Greed,AI16Z,369,14.648140989159891
Greed,WLD,1706,14.601260276084409
Greed,SAND,144,11.824866847222221
Greed,kPEPE,1404,9.95836055982906
Greed,PENGU,683,9.314730489019034
Greed,RUNE,255,9.297855117647059
Greed,HBAR,237,8.019638455696203
Greed,TNSR,645,7.473077145736434
Greed,TAO,830,5.834033332530121
Greed,ADA,276,5.378661706521739
Greed,PENDLE,484,5.006453270661157
Greed,FTT,1410,2.754428184397163
Greed,W,586,2.5824053583617745
Greed,LINK,242,2.469757603305785
Greed,@142,665,1.6774342015037595
Greed,GRASS,109,1.5340096605504587
Greed,XRP,690,1.0383960739130436
Greed,KAITO,134,0.8437969328358209
Greed,@4,302,0.7675282814569536
Greed,VINE,104,0.4718932884615385
Greed,LAYER,186,0.0
Greed,@8,32,-0.0183609375
Greed,@51,22,-1.9360665
Greed,SEI,74,-12.469976540540541
Greed,POPCAT,565,-17.295291805309734
Greed,IO,338,-64.89970005325443
Greed,TRUMP,960,-453.650587684375
